Player,Round ID,Date,Course,Weather Difficulty,Course Difficulty,Tournament,Benchmark,Shot,Hole,Score,Starting Distance,Starting Location,Ending Distance,Ending Location,Penalty,Starting SG,Ending SG,Strokes Gained
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,3,18,75,50,Fairway,10,Green,No,2.70,1.63,0.07
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,4,18,76,10,Green,0,Green,No,1.63,0.00,0.63
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,1,1,1,500,Tee,230,Fairway,No,4.56,3.49,0.07
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,2,1,2,230,Fairway,50,Fairway,No,3.49,2.68,-0.19
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,3,1,3,50,Fairway,4,Green,No,2.68,1.13,0.55
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,4,1,4,4,Green,0,Green,No,1.13,0.00,0.13
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,1,2,5,180,Tee,35,Green,No,3.10,2.03,0.07
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,2,2,6,35,Green,6,Green,No,2.03,1.32,-0.29
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,3,2,7,6,Green,1,Green,No,1.32,1.01,-0.69
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,4,2,8,1,Green,0,Green,No,1.01,0.00,0.01
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,1,3,10,425,Tee,150,Rough,Yes,4.16,3.27,-1.11
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,2,3,11,150,Rough,35,Sand,No,3.27,2.79,-0.52
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,3,3,12,35,Sand,15,Green,No,2.79,1.79,0.00
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,4,3,13,15,Green,2,Green,No,1.79,1.03,-0.24
